Guid,Isin,Instrument_descriptor,Type,ArrivalTime,ArrivalPrice,ArrivalCost,OpenTime,CloseTime,OrderTime,ExecutionTime,Duration (s),Latency (s),ExecutionPrice,Count,OpenPrice,HighPrice,LowPrice,ClosePrice,Vwap,Volume,Ticker,Exchange
0x05AD8876E50B164E8B9DF4A2B882E91F,FR0000120107,Savencia,SELL,"2021-11-02T10:55:19.431Z",64,0.0015000000000000568,"2021-11-02T10:55:19.431Z","2021-11-02T15:03:20.386300Z","2021-11-02T10:25:39Z","2021-11-02T15:35:13Z",16793,60,64.096,12,64,64.2,64,64.2,64.09599999999999,550,SAVE,XPAR
0x07B9131D0F84F54E9B00131AAD92B9EB,FR0000120107,Savencia,SELL,"2021-11-12T08:00:12.142100Z",64.6,-0.007157894736841922,"2021-11-12T08:00:12.142100Z","2021-11-12T15:10:53.994200Z","2021-11-12T06:54:00Z","2021-11-12T15:35:01Z",27288,60,64.1376,28,64.6,64.6,64.2,64.6,64.52910798122065,852,SAVE,XPAR
0x09C70CF90CF252449B4AA1D11A8E6DF2,FR0000120107,Savencia,SELL,"2021-11-11T12:29:09.471800Z",64.2,0.005417445482865924,"2021-11-11T12:29:09.471800Z","2021-11-11T14:44:22.610400Z","2021-11-11T09:27:08Z","2021-11-11T15:35:25Z",11175,60,64.5478,9,64.2,64.4,64.2,64.2,64.213986013986,143,SAVE,XPAR
0x0F331EB71DC35D4B9EE009B18AA51879,FR0000120107,Savencia,SELL,"2021-11-18T09:42:12.265400Z",64.4,0.01803726708074523,"2021-11-18T09:42:12.265400Z","2021-11-18T15:01:45.186700Z","2021-11-18T09:38:40Z","2021-11-18T15:29:12Z",20819,60,65.5616,91,64.4,66.8,64.4,66.8,65.2176470588236,2754,SAVE,XPAR
