TimeStamp,RAW
2021-11-05T14:00:24.7014000Z,T|112702||151.65|100||1636120824.7014|||||||||
2021-11-05T14:00:27.4677000Z,T|112852||151.61|100||1636120827.4677|||||||||
2021-11-05T14:00:27.4677000Z,T|112854||151.61|80||1636120827.4677|||||||||
2021-11-05T14:00:27.4677000Z,T|112858||151.6|300||1636120827.4677|||||||||
2021-11-05T14:00:27.4677000Z,T|112862||151.6|100||1636120827.4677|||||||||
2021-11-05T14:00:27.4677000Z,T|112864||151.6|100||1636120827.4677|||||||||
2021-11-05T14:00:27.9304000Z,T|112873||151.59|5||1636120827.9304|||||||||
2021-11-05T14:00:27.9304000Z,T|112879||151.59|6||1636120827.9304|||||||||
2021-11-05T14:00:29.0879000Z,T|112985||151.62|100||1636120829.0879|||||||||
2021-11-05T14:00:29.0879000Z,T|112987||151.62|100||1636120829.0879|||||||||
2021-11-05T14:00:30.3343000Z,T|113020||151.61|10||1636120830.3343|||||||||
2021-11-05T14:00:31.1298000Z,T|113059||151.6|100||1636120831.1298|||||||||
2021-11-05T14:00:31.1355000Z,T|113065||151.6|100||1636120831.1355|||||||||
2021-11-05T14:00:31.1355000Z,T|113068||151.6|100||1636120831.1355|||||||||
2021-11-05T14:00:31.2176000Z,T|113095||151.6|100||1636120831.2176|||||||||
2021-11-05T14:00:33.3300000Z,T|113161||151.6|7||1636120833.33|||||||||
2021-11-05T14:00:33.3300000Z,T|113166||151.6|3||1636120833.33|||||||||
2021-11-05T14:00:33.3300000Z,T|113182||151.6|100||1636120833.33|||||||||
2021-11-05T14:00:33.3300000Z,T|113184||151.6|100||1636120833.33|||||||||
2021-11-05T14:00:33.3300000Z,T|113188||151.6|100||1636120833.33|||||||||
2021-11-05T14:00:33.3354000Z,T|113197||151.6|100||1636120833.3354|||||||||
2021-11-05T14:00:33.3354000Z,T|113199||151.6|100||1636120833.3354|||||||||
2021-11-05T14:00:33.3354000Z,T|113201||151.6|50||1636120833.3354|||||||||
2021-11-05T14:00:33.3416000Z,T|113250||151.6|100||1636120833.3416|||||||||
2021-11-05T14:00:33.3474000Z,T|113265||151.6|100||1636120833.3474|||||||||
2021-11-05T14:00:33.3474000Z,T|113267||151.6|100||1636120833.3474|||||||||
2021-11-05T14:00:33.3699000Z,T|113279||151.6|5||1636120833.3699|||||||||
2021-11-05T14:00:33.4265000Z,T|113297||151.6|11||1636120833.4265|||||||||
2021-11-05T14:00:33.4265000Z,T|113299||151.6|89||1636120833.4265|||||||||
2021-11-05T14:00:33.4265000Z,T|113311||151.6|100||1636120833.4265|||||||||
2021-11-05T14:00:33.4265000Z,T|113313||151.6|100||1636120833.4265|||||||||
2021-11-05T14:00:33.5330000Z,T|113336||151.6|100||1636120833.533|||||||||
2021-11-05T14:00:33.5388000Z,T|113387||151.6|55||1636120833.5388|||||||||
2021-11-05T14:00:33.5388000Z,T|113389||151.6|100||1636120833.5388|||||||||
2021-11-05T14:00:33.5388000Z,T|113391||151.6|45||1636120833.5388|||||||||
2021-11-05T14:00:33.5957000Z,T|113424||151.6|100||1636120833.5957|||||||||
2021-11-05T14:00:33.5957000Z,T|113441||151.6|100||1636120833.5957|||||||||
