time_stamp,seconds,nanos,bid_size,bid_price,ask_price,ask_size,trade_price,trade_size,not_shown_book_ticks_before
2022-01-14 14:00:00.4234,1642168800,423400000,,,,,170.92,10,
2022-01-14 14:00:08.9995,1642168808,999500000,2,170.87,170.96,40,,,1
2022-01-14 14:00:08.9995,1642168808,999500000,,,,,170.9,1,
2022-01-14 14:00:08.9995,1642168808,999500000,,,,,170.9,1,
2022-01-14 14:00:11.0247,1642168811,24700000,10,170.76,170.96,40,,,1
2022-01-14 14:00:11.0247,1642168811,24700000,,,,,170.87,2,
2022-01-14 14:00:15.8086,1642168815,808600000,10,170.76,170.93,1,,,5
2022-01-14 14:00:19.3426,1642168819,342600000,,,,,170.83,1,
2022-01-14 14:01:12.0896,1642168872,89600000,2,170.81,170.85,100,,,6
2022-01-14 14:01:12.0896,1642168872,89600000,,,,,170.83,1,
2022-01-14 14:01:12.0896,1642168872,89600000,,,,,170.82,5,
2022-01-14 14:01:12.0896,1642168872,89600000,1,170.81,170.93,1,,,2
2022-01-14 14:01:12.0896,1642168872,89600000,,,,,170.81,1,
2022-01-14 14:01:12.0896,1642168872,89600000,1,170.78,170.93,1,,,1
2022-01-14 14:01:12.0896,1642168872,89600000,,,,,170.81,1,
2022-01-14 14:01:12.0896,1642168872,89600000,,,,,170.81,4,
2022-01-14 14:01:12.0896,1642168872,89600000,,,,,170.81,1,
2022-01-14 14:01:14.829,1642168874,829000000,10,170.76,170.93,1,,,3
2022-01-14 14:01:14.885,1642168874,885000000,,,,,170.78,1,
2022-01-14 14:01:45.9884,1642168905,988400000,10,170.76,170.93,1,,,8
2022-01-14 14:01:45.9884,1642168905,988400000,,,,,170.8,3,
2022-01-14 14:02:02.6381,1642168922,638100000,2,170.78,170.85,2,,,10
2022-01-14 14:02:02.6381,1642168922,638100000,,,,,170.8,1,
2022-01-14 14:02:07.0271,1642168927,27100000,,,,,170.79,4,
2022-01-14 14:02:07.0271,1642168927,27100000,10,170.76,170.84,33,,,2
2022-01-14 14:02:07.0271,1642168927,27100000,,,,,170.78,1,
2022-01-14 14:02:16.1721,1642168936,172100000,10,170.76,170.85,2,,,3
2022-01-14 14:02:16.9878,1642168936,987800000,,,,,170.84,2,
2022-01-14 14:02:16.9878,1642168936,987800000,10,170.76,170.93,1,,,1
2022-01-14 14:02:16.9878,1642168936,987800000,,,,,170.85,2,
2022-01-14 14:02:38.8782,1642168958,878200000,1,170.74,170.93,1,,,10
2022-01-14 14:02:38.8782,1642168958,878200000,,,,,170.76,10,
2022-01-14 14:02:56.536,1642168976,536000000,1,170.77,170.96,40,,,5
2022-01-14 14:03:04.9243,1642168984,924300000,,,,,170.83,10,
2022-01-14 14:03:04.9243,1642168984,924300000,,,,,170.83,50,
2022-01-14 14:03:05.9256,1642168985,925600000,,,,,170.85,15,
2022-01-14 14:03:38.7811,1642169018,781100000,100,170.88,170.96,40,,,8
2022-01-14 14:03:38.7811,1642169018,781100000,,,,,170.91,1,
2022-01-14 14:03:46.0865,1642169026,86500000,1,170.82,171,105,,,4
2022-01-14 14:03:46.0865,1642169026,86500000,,,,,170.96,40,
2022-01-14 14:03:59.7853,1642169039,785300000,1,170.85,170.94,1,,,15
2022-01-14 14:03:59.7853,1642169039,785300000,,,,,170.9,1,
2022-01-14 14:04:07.4819,1642169047,481900000,1,170.85,171,105,,,3
2022-01-14 14:04:07.4819,1642169047,481900000,,,,,170.94,1,
2022-01-14 14:04:07.5504,1642169047,550400000,1,170.85,171,105,,,2
2022-01-14 14:04:14.0029,1642169054,2900000,,,,,170.94,10,
2022-01-14 14:04:14.0029,1642169054,2900000,1,170.85,171,105,,,4
2022-01-14 14:04:14.0029,1642169054,2900000,,,,,170.9,2,
2022-01-14 14:04:25.8572,1642169065,857200000,67,170.92,171,105,,,5
2022-01-14 14:04:25.8572,1642169065,857200000,,,,,171,100,
2022-01-14 14:04:25.8572,1642169065,857200000,67,170.92,171,27,,,1
2022-01-14 14:04:25.8572,1642169065,857200000,,,,,171,82,
2022-01-14 14:04:25.8572,1642169065,857200000,67,170.92,171.4,1,,,1
2022-01-14 14:04:25.8572,1642169065,857200000,,,,,171,27,
2022-01-14 14:04:25.8572,1642169065,857200000,,,,,171,1,
2022-01-14 14:05:16.0308,1642169116,30800000,1,170.85,171.4,1,,,16
2022-01-14 14:05:25.8952,1642169125,895200000,,,,,171.18,100,
2022-01-14 14:05:25.8952,1642169125,895200000,54,171.13,171.4,1,,,1
2022-01-14 14:05:25.8952,1642169125,895200000,,,,,171.18,98,
2022-01-14 14:05:25.8952,1642169125,895200000,,,,,171.18,100,
