Timestamp,Tick
2022-04-05 16:00:01.014100,Q|158258||177.56|50|177.58|100||1649167201.0141|
2022-04-05 16:00:01.014100,Q|158259||177.56|50|177.58|200||1649167201.0141|
2022-04-05 16:00:01.068300,Q|158260||177.56|50|177.58|100||1649167201.0683|
2022-04-05 16:00:01.068300,Q|158261||177.57|100|177.58|100||1649167201.0683|
2022-04-05 16:00:01.068300,Q|158262||177.57|100|177.58|161||1649167201.0683|
2022-04-05 16:00:01.068300,T|158263||177.57|100||1649167201.0683|||||||||
2022-04-05 16:00:01.068300,Q|158264||177.57|100|177.58|200||1649167201.0683|
2022-04-05 16:00:01.075000,Q|158265||177.56|50|177.58|200||1649167201.075|
2022-04-05 16:00:01.075000,Q|158266||177.57|100|177.58|200||1649167201.075|
2022-04-05 16:00:01.075000,Q|158267||177.56|50|177.58|200||1649167201.075|
2022-04-05 16:00:01.117200,Q|158268||177.56|50|177.58|300||1649167201.1172|
2022-04-05 16:00:01.117200,Q|158269||177.55|50|177.57|100||1649167201.1172|
2022-04-05 16:00:01.142700,Q|158270||177.55|50|177.58|200||1649167201.1427|
2022-04-05 16:00:01.180900,Q|158271||177.55|150|177.58|200||1649167201.1809|
2022-04-05 16:00:01.180900,Q|158272||177.56|100|177.59|300||1649167201.1809|
2022-04-05 16:00:01.180900,T|158273||177.58|100||1649167201.1809|||||||||
2022-04-05 16:00:01.180900,Q|158274||177.56|100|177.58|100||1649167201.1809|
2022-04-05 16:00:01.180900,Q|158275||177.56|200|177.58|100||1649167201.1809|
2022-04-05 16:00:01.180900,Q|158276||177.56|200|177.58|200||1649167201.1809|
2022-04-05 16:00:01.186500,Q|158277||177.56|200|177.58|100||1649167201.1865|
2022-04-05 16:00:01.192400,Q|158278||177.56|200|177.58|200||1649167201.1924|
2022-04-05 16:00:01.439900,Q|158279||177.55|152|177.58|200||1649167201.4399|
2022-04-05 16:00:01.439900,T|158280||177.56|100||1649167201.4399|||||||||
2022-04-05 16:00:01.439900,Q|158281||177.55|152|177.57|61||1649167201.4399|
2022-04-05 16:00:01.439900,Q|158282||177.55|52|177.57|61||1649167201.4399|
2022-04-05 16:00:01.448600,Q|158283||177.55|52|177.57|161||1649167201.4486|
2022-04-05 16:00:01.448600,Q|158284||177.55|50|177.57|161||1649167201.4486|
2022-04-05 16:00:01.588600,Q|158285||177.54|950|177.57|161||1649167201.5886|
2022-04-05 16:00:01.588600,T|158286||177.55|50||1649167201.5886|||||||||
2022-04-05 16:00:01.588600,Q|158287||177.55|100|177.56|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158288||177.55|100|177.56|200||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158289||177.55|100|177.56|100||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158290||177.55|100|177.57|200||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158291||177.56|100|177.57|200||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158292||177.55|100|177.57|200||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158293||177.56|100|177.57|200||1649167201.5886|
2022-04-05 16:00:01.588600,Q|158294||177.55|100|177.57|200||1649167201.5886|
