Timestamp,Type,Mapping,Action,Side,Price,Size,Depth,OrderId,Condition,Reset,FieldName,FieldType,FieldValue,MessageNumber
2021-11-01 13:00:01.809000,MBO,1,ACTION_CLEAR,SIDE_BID,0.0,0,,1635767998743340033,,False,,,,48
2021-11-01 13:00:01.809000,MBO,1,ACTION_SET,SIDE_BID,59.56,96,,1635768001779949854,,False,,,,49
2021-11-01 13:00:01.845700,MBO,1,ACTION_CLEAR,,0.0,0,,1635768001760446676,,False,,,,50
2021-11-01 13:00:01.868200,MBO,1,ACTION_SET,,59.59,101,,1635768001849922654,,False,,,,51
2021-11-01 13:00:01.968900,MBO,1,ACTION_SET,,59.57,35,,1635768001955807274,,False,,,,52
2021-11-01 13:00:02.712100,MBO,1,ACTION_CLEAR,SIDE_BID,0.0,0,,1635768001760339429,,False,,,,53
2021-11-01 13:00:03.116300,MBO,1,ACTION_SET,SIDE_BID,59.56,61,,1635768003081734160,,False,,,,54
2021-11-01 13:00:03.116300,MBO,1,ACTION_CLEAR,,0.0,0,,1635768001759431770,,False,,,,55
2021-11-01 13:00:03.116300,MBO,1,ACTION_SET,,59.57,110,,1635768001759447532,,False,,,,56
2021-11-01 13:00:03.116300,MBO,1,ACTION_CLEAR,,0.0,0,,1635768001955807274,,False,,,,57
2021-11-01 13:00:03.116300,MBO,1,ACTION_CLEAR,,0.0,0,,1635768001759447532,,False,,,,58
2021-11-01 13:00:03.116300,MBO,1,ACTION_SET,,59.58,219,,1635767974590761712,,False,,,,59
2021-11-01 13:00:03.153000,MBO,1,ACTION_SET,SIDE_BID,59.55,101,,1635768003109941026,,False,,,,60
2021-11-01 13:00:03.153000,MBO,1,ACTION_CLEAR,,0.0,0,,1635768001760332543,,False,,,,61
2021-11-01 13:00:03.466700,MBO,1,ACTION_SET,SIDE_BID,59.56,72,,1635768003450836959,,False,,,,62
2021-11-01 13:00:03.466700,MBO,1,ACTION_SET,,59.58,35,,1635768003450901256,,False,,,,63
2021-11-01 13:00:03.537100,MBO,1,ACTION_SET,,59.58,100,,1635768003512778327,,False,,,,64
2021-11-01 13:00:03.537100,MBO,1,ACTION_SET,,59.57,125,,1635768003512822150,,False,,,,65
2021-11-01 13:00:03.537100,MBO,1,ACTION_CLEAR,,0.0,0,,1635767998743570833,,False,,,,66
2021-11-01 13:00:03.537100,MBO,1,ACTION_SET,,59.58,21,,1635768003512859443,,False,,,,67
2021-11-01 13:00:03.537100,MBO,1,ACTION_CLEAR,SIDE_BID,0.0,0,,1635768003109941026,,False,,,,68
2021-11-01 13:00:03.588400,MBO,1,ACTION_SET,SIDE_BID,59.56,37,,1635768003531933101,,False,,,,69
2021-11-01 13:00:03.588400,MBO,1,ACTION_CLEAR,,0.0,0,,1635768003512822150,,False,,,,70
2021-11-01 13:00:03.588400,MBO,1,ACTION_SET,,59.58,219,,1635767974590761712,,False,,,,71
2021-11-01 13:00:03.588400,MBO,1,ACTION_SET,SIDE_BID,59.56,33,,1635768003532090467,,False,,,,72
2021-11-01 13:00:03.588400,MBO,1,ACTION_CLEAR,,0.0,0,,1635768001759521718,,False,,,,73
2021-11-01 13:00:03.588400,MBO,1,ACTION_CLEAR,,0.0,0,,1635768003512859443,,False,,,,74
2021-11-01 13:00:03.588400,MBO,1,ACTION_SET,,60.77,21,,1635768003542097709,,False,,,,75
2021-11-01 13:00:03.687300,MBO,1,ACTION_SET,SIDE_BID,59.55,101,,1635768003634944994,,False,,,,76
2021-11-01 13:00:03.687300,MBO,1,ACTION_CLEAR,,0.0,0,,1635768003512778327,,False,,,,77
2021-11-01 13:00:04.081700,MBO,1,ACTION_SET,,59.58,168,,1635768004033104586,,False,,,,78
2021-11-01 13:00:04.121100,MBO,1,ACTION_SET,,59.58,100,,1635768004106992804,,False,,,,79
2021-11-01 13:00:04.831100,MBO,1,ACTION_SET,,59.57,125,,1635768004794819267,,False,,,,80
2021-11-01 13:00:04.831100,MBO,1,ACTION_CLEAR,SIDE_BID,0.0,0,,1635768003634944994,,False,,,,81
2021-11-01 13:00:04.831100,MBO,1,ACTION_CLEAR,SIDE_BID,0.0,0,,1635768003531933101,,False,,,,82
2021-11-01 13:00:04.831100,MBO,1,ACTION_CLEAR,SIDE_BID,0.0,0,,1635768003081734160,,False,,,,83
2021-11-01 13:00:04.831100,MBO,1,ACTION_SET,SIDE_BID,59.56,98,,1635768004795537157,,False,,,,84
2021-11-01 13:00:05.539700,MBO,1,ACTION_SET,,59.57,85,,1635768004794819267,,False,,,,85
2021-11-01 13:00:05.539700,MBO,1,ACTION_CLEAR,,0.0,0,,1635768004794819267,,False,,,,86
2021-11-01 13:00:05.539700,MBO,1,ACTION_SET,,59.58,219,,1635767974590761712,,False,,,,87
2021-11-01 13:00:05.539700,MBO,1,ACTION_CLEAR,,0.0,0,,1635767995359326667,,False,,,,88
2021-11-01 13:00:05.539700,FLD,0,,,,,,,,False,FIELD_TRADE_PRICE,double_value,59.57,89
2021-11-01 13:00:05.539700,FLD,0,,,,,,,,False,FIELD_TRADE_SIZE,long_value,40,89
2021-11-01 13:00:05.539700,FLD,0,,,,,,,,False,FIELD_TRADING_CONDITION,string_value,0,89
2021-11-01 13:00:05.539700,FLD,0,,,,,,,,False,FIELD_TRADE_ID,string_value,1200055254348405957,89
2021-11-01 13:00:05.648300,MBO,1,ACTION_SET,SIDE_BID,59.55,101,,1635768005629969972,,False,,,,90
2021-11-01 13:00:05.673200,MBO,1,ACTION_SET,,59.68,400,,1635768005652659218,,False,,,,91
2021-11-01 13:00:05.796600,MBO,1,ACTION_SET,SIDE_BID,59.52,99,,1635768005759464793,,False,,,,92
2021-11-01 13:00:05.916400,MBO,1,ACTION_CLEAR,,0.0,0,,1635768004033104586,,False,,,,93
2021-11-01 13:00:05.916400,MBO,1,ACTION_CLEAR,,0.0,0,,1635768001759375137,,False,,,,94
2021-11-01 13:00:05.916400,MBO,1,ACTION_CLEAR,,0.0,0,,1635768004106992804,,False,,,,95
2021-11-01 13:00:05.916400,MBO,1,ACTION_SET,SIDE_BID,59.56,100,,1635768005906749478,,False,,,,96
2021-11-01 13:00:05.916400,MBO,1,ACTION_SET,SIDE_BID,59.56,168,,1635768005906793524,,False,,,,97
2021-11-01 13:00:05.916400,MBO,1,ACTION_CLEAR,,0.0,0,,1635768001759387394,,False,,,,98
2021-11-01 13:00:05.916400,MBO,1,ACTION_CLEAR,SIDE_BID,0.0,0,,1635768001759471228,,False,,,,99
2021-11-01 13:00:05.916400,MBO,1,ACTION_SET,SIDE_BID,59.56,32,,1635768005906907550,,False,,,,100
2021-11-01 13:00:05.916400,MBO,1,ACTION_SET,,59.58,43,,1635768005908272138,,False,,,,101
2021-11-01 13:00:05.927600,MBO,1,ACTION_CLEAR,,0.0,0,,1635768001759349045,,False,,,,102
2021-11-01 13:00:06.733700,MBO,1,ACTION_CLEAR,,0.0,0,,1635768005908272138,,False,,,,103
2021-11-01 13:00:06.733700,MBO,1,ACTION_SET,SIDE_BID,59.56,35,,1635768006701952990,,False,,,,104
2021-11-01 13:00:06.818500,MBO,1,ACTION_SET,SIDE_BID,59.56,94,,1635768006766280883,,False,,,,105
2021-11-01 13:00:06.818500,MBO,1,ACTION_CLEAR,SIDE_BID,0.0,0,,1635768005759464793,,False,,,,106
2021-11-01 13:00:06.983100,MBO,1,ACTION_SET,,59.58,43,,1635768006932961035,,False,,,,107
2021-11-01 13:00:06.983100,MBO,1,ACTION_CLEAR,SIDE_BID,0.0,0,,1635768005906793524,,False,,,,108
2021-11-01 13:00:06.983100,MBO,1,ACTION_SET,,59.58,162,,1635768006933047115,,False,,,,109
2021-11-01 13:00:06.983100,MBO,1,ACTION_CLEAR,SIDE_BID,0.0,0,,1635768005906749478,,False,,,,110
2021-11-01 13:00:06.983100,MBO,1,ACTION_CLEAR,SIDE_BID,0.0,0,,1635768006701952990,,False,,,,111
2021-11-01 13:00:06.983100,MBO,1,ACTION_CLEAR,SIDE_BID,0.0,0,,1635768005906907550,,False,,,,112
