Date,Open,High,Low,Close,Volume,Score,Open_Adjusted,High_Adjusted,Low_Adjusted,Close_Adjusted,Volume_Adjusted,Score_Adjusted
2001-01-02,0.2656243625,0.272320775,0.2600529473,0.2656243625,452257085.0,0.0,0.2656243625,0.272320775,0.2600529473,0.2656243625,452257085.0,0.0
2001-01-03,0.25892795,0.2979992848,0.2578208098,0.29241001250000004,816913161.0,0.0,0.25892795,0.2979992848,0.2578208098,0.29241001250000004,816913161.0,0.0
2001-01-04,0.3239456511,0.33035635,0.3002314223,0.3046956973,739252174.0,0.0,0.3239456511,0.33035635,0.3002314223,0.3046956973,739252174.0,0.0
2001-01-05,0.3024635598,0.3102671125,0.2868385973,0.29241001250000004,412345790.0,0.0,0.3024635598,0.3102671125,0.2868385973,0.29241001250000004,412345790.0,0.0
2001-01-08,0.3024635598,0.30328498640000007,0.28460645980000004,0.2957671473,373470496.0,0.0,0.3024635598,0.30328498640000007,0.28460645980000004,0.2957671473,373470496.0,0.0
2001-01-09,0.3002314223,0.3150171011,0.2957671473,0.30692783479999997,588578213.0,0.0,0.3002314223,0.3150171011,0.2957671473,0.30692783479999997,588578213.0,0.0
2001-01-10,0.2979992848,0.3035707,0.2868385973,0.2957671473,580715794.0,0.0,0.2979992848,0.3035707,0.2868385973,0.2957671473,580715794.0,0.0
2001-01-11,0.29017787500000003,0.33035635,0.29017787500000003,0.32142780000000004,803316328.0,0.0,0.29017787500000003,0.33035635,0.29017787500000003,0.32142780000000004,803316328.0,0.0
2001-01-12,0.31919566250000003,0.32142780000000004,0.3046956973,0.30692783479999997,423316216.0,0.0,0.31919566250000003,0.32142780000000004,0.3046956973,0.30692783479999997,423316216.0,0.0
2001-01-16,0.3113921098,0.325892075,0.3035707,0.30580283750000004,304836732.0,0.0,0.3113921098,0.325892075,0.3035707,0.30580283750000004,304836732.0,0.0
2001-01-17,0.3136242473,0.3136242473,0.29464215,0.3002314223,837022809.0,0.0,0.3136242473,0.3136242473,0.29464215,0.3002314223,837022809.0,0.0
2001-01-18,0.3180885223,0.33482062500000004,0.3147313875,0.3337134848,1226201343.0,0.0,0.3180885223,0.33482062500000004,0.3147313875,0.3337134848,1226201343.0,0.0
2001-01-19,0.3471063098,0.3493384473,0.3337134848,0.34821345000000004,776525864.0,0.0,0.3471063098,0.3493384473,0.3337134848,0.34821345000000004,776525864.0,0.0
2001-01-22,0.3404098973,0.3504455875,0.3292492098,0.343749175,519289246.0,0.0,0.3404098973,0.3504455875,0.3292492098,0.343749175,519289246.0,0.0
2001-01-23,0.3448741723,0.3738919598,0.3404098973,0.36607055,879045310.0,0.0,0.3448741723,0.3738919598,0.3404098973,0.36607055,879045310.0,0.0
2001-01-24,0.3683026875,0.3694276848,0.3493384473,0.36607055,717059321.0,0.0,0.3683026875,0.3694276848,0.3493384473,0.36607055,717059321.0,0.0
2001-01-25,0.3671955473,0.3671955473,0.352677725,0.3560348598,489553175.0,0.0,0.3671955473,0.3671955473,0.352677725,0.3560348598,489553175.0,0.0
2001-01-26,0.34821345000000004,0.3538027223,0.3404098973,0.3493384473,482771559.0,0.0,0.34821345000000004,0.3538027223,0.3404098973,0.3493384473,482771559.0,0.0
2001-01-29,0.3493384473,0.388391925,0.3493384473,0.3872847848,855295653.0,0.0,0.3493384473,0.388391925,0.3493384473,0.3872847848,855295653.0,0.0
2001-01-30,0.3850526473,0.3928562,0.3727669625,0.388391925,692340862.0,0.0,0.3850526473,0.3928562,0.3727669625,0.388391925,692340862.0,0.0
2001-01-31,0.38392765,0.40178475,0.3828205098,0.3861597875,730252953.0,0.0,0.38392765,0.40178475,0.3828205098,0.3861597875,730252953.0,0.0
2001-02-01,0.3694276848,0.38392765,0.36607055,0.37723123750000004,371028890.0,0.0,0.3694276848,0.38392765,0.36607055,0.37723123750000004,371028890.0,0.0
2001-02-02,0.37723123750000004,0.3917490598,0.36607055,0.3683026875,427325826.0,0.0,0.37723123750000004,0.3917490598,0.36607055,0.3683026875,427325826.0,0.0
2001-02-05,0.36607055,0.3671955473,0.352677725,0.3604991348,326211983.0,0.0,0.36607055,0.3671955473,0.352677725,0.3604991348,326211983.0,0.0
