Name,Ticker,Exchange,Primary,Country,Currency
Wisdomtree Trust International Multifactor Fund,DWMF,BATS,XNYS,US,USD
Ark Etf Tr Next Generation Internet Etf,ARKW,BATS,XNYS,US,USD
Alps Etf Trust Barrons 400 Etf,BFOR,BATS,XNYS,US,USD
Invesco Exchange Traded Fd Tr Ftse Rafi Us 1000 Etf,PRF,BATS,XNYS,US,USD
Global X SP 500 Quality Dividend Etf,QDIV,BATS,XNYS,US,USD
Harbor Disruptive Innovation Etf,INNO,BATS,XNYS,US,USD
Ishares 0-3 Month Treasury Bond Etf,SGOV,BATS,XNYS,US,USD
Invesco Exchange Traded Fd Tr SP 500 Eql Wgt Indls Etf,RGI,BATS,XNYS,US,USD
Spdr Bloomberg Short Term International Treasury Bond Etf,BWZ,BATS,XNYS,US,USD
Innovator Buffer Step-Up Strategy,BSTP,BATS,XNYS,US,USD
Teucrium Agricultural Strategy No K-1 Etf,TILL,BATS,XNYS,US,USD
Amplify Digital Online Trading Etf,BIDS,BATS,XNYS,US,USD
Flexshares Trust Morningstar Dev Ex-Us Mkts Factor Tilt,TLTD,BATS,XNYS,US,USD
Etf Series Solutions Us Global Go Gold Precus Metl Mine Etf,GOAU,BATS,XNYS,US,USD
Spdr Index Shares Funds Portfolio Developed World Ex-Us Etf,SPDW,BATS,XNYS,US,USD
Ishares Trust Aggressive Allocation Etf,AOA,BATS,XNYS,US,USD
Fidelity Covington Trust Msci Finls Index Etf,FNCL,BATS,XNYS,US,USD
Direxion Work From Home Etf,WFH,BATS,XNYS,US,USD
Direxion Mrna Etf,MSGR,BATS,XNYS,US,USD
Spdr Series Trust Factset Innovative Technology Etf,XITK,BATS,XNYS,US,USD
Natixis Vaughan Nelson Select Etf,VNSE,BATS,XNYS,US,USD
Iq Clean Oceans Etf,OCEN,BATS,XNYS,US,USD
Direxion Daily Select Large Caps Fangs Bull 2X Shares,FNGG,BATS,XNYS,US,USD
Ishares Inc Msci Japan Etf NewPost Rev Splt,EWJ,BATS,XNYS,US,USD
Vaneck Digital India Etf,DGIN,BATS,XNYS,US,USD
Global X SP 500 Risk Managed Income Etf,XRMI,BATS,XNYS,US,USD
Vaneck Uranium Nuclear Energy Etf,NLR,BATS,XNYS,US,USD
Franklin Templeton Etf Tr Ftse South Korea Etf,FLKR,BATS,XNYS,US,USD
Spdr Series Trust Spdr SP Biotech Etf,XBI,BATS,XNYS,US,USD
Vanguard Index Funds Vanguard Growth Etf,VUG,BATS,XNYS,US,USD
Xtrackers Msci Japan Hedged Equity Etf,DBJP,BATS,XNYS,US,USD
Global X Us Preferred Etf,PFFD,BATS,XNYS,US,USD
Ishares Trust Cybersecurity And Tech Etf,IHAK,BATS,XNYS,US,USD
Invesco Exchange Traded Fd Tr SP 500 Eql Wgt Healthcare Etf,RYH,BATS,XNYS,US,USD
Simplify Emerging Markets Equity Plus Downside Convexity Etf,EMGD,BATS,XNYS,US,USD
Ecofin Global Water Esg Fund,EBLU,BATS,XNYS,US,USD
Revere Sector Opportunity Etf,RSPY,BATS,XNYS,US,USD
Vanguard Tax Managed Fund Ftse Developed Mkts Etf,VEA,BATS,XNYS,US,USD
Direxion Shares Etf Trust Daily Healthcare Bull 3X Shs Etf,CURE,BATS,XNYS,US,USD
Robinson Alternative Yield Pre-Merger Spac Etf,SPAX,BATS,XNYS,US,USD
Etf Series Solutions Vident Intl Equity Fd,VIDI,BATS,XNYS,US,USD
Kraneshares Tr Emerging Markets Healthcare Index Etf,KMED,BATS,XNYS,US,USD
Indexiq Active Etf Trust Iq Mackay Municipal Insured Etf,MMIN,BATS,XNYS,US,USD
Victory Portfolios Ii Shares Usaa Core Intermediate Term Bond,UITB,BATS,XNYS,US,USD
Capital Link Global Fintech Leaders Etf,KOIN,BATS,XNYS,US,USD
Schwab Strategic Tr Us Broad Mkt Etf,SCHB,BATS,XNYS,US,USD
Spdr Series Trust Spdr SP Pharmaceuticals Etf,XPH,BATS,XNYS,US,USD
Drivewealth Steady Saver Etf,STBL,BATS,XNYS,US,USD
Ishares Trust Ibonds Dec 2022 Term Muni Bond Etf,IBMK,BATS,XNYS,US,USD
Build Bond Innovation Etf,BFIX,BATS,XNYS,US,USD
Jpmorgan Short Duration Core Plus Etf,JSCP,BATS,XNYS,US,USD
Ishares Inc Msci Pacific Ex Japan Etf,EPP,BATS,XNYS,US,USD
Xtrackers Ftse Developed Ex Us Multifactor Etf,DEEF,BATS,XNYS,US,USD
Invesco Exchange Traded Fd Tr Ii Global Short Term High Yld Bd Etf,PGHY,BATS,XNYS,US,USD
Invesco Exchange Traded Fd Tr Dynamic Software Etf,PSJ,BATS,XNYS,US,USD
Rivernorth Enhanced Pre-Merger Spac Etf,SPCZ,BATS,XNYS,US,
Merk Stagflation Etf,STGF,BATS,XNYS,US,USD
Kraneshares Cicc China Consumer Leaders Index Etf,KBUY,BATS,XNYS,US,USD
Invesco Exchange Traded Fd Tr SP 100 Equal Weight Etf,EQWL,BATS,XNYS,US,USD
Direxion Daily Junior Gold Miners Index Bull 2X Shares,JNUG,BATS,XNYS,US,USD
Vaneck India Growth Leaders Etf,GLIN,BATS,XNYS,US,USD
Direxion Daily Tips Bear 2X Shares,TIPD,BATS,XNYS,US,USD
Invesco Exchange Traded Self Idx Ft Defensive Equity Etf,DEF,BATS,XNYS,US,USD
Invesco Exchange Traded Fd Tr SP Spin Off Etf,CSD,BATS,XNYS,US,USD
Invesco Msci Sustainable Future Etf,ERTH,BATS,XNYS,US,USD
American Century Sustainable Growth Etf,ESGY,BATS,XNYS,US,USD
Pimco Etf Trust Enhanced Low Duration Actve Exch Trd Fd,LDUR,BATS,XNYS,US,USD
Nuveen Dividend Growth Etf,NDVG,BATS,XNYS,US,USD
Nationwide Russell 2000 Risk Managed Income Etf,NTKI,BATS,XNYS,US,USD
Vaneck Bdc Income Etf,BIZD,BATS,XNYS,US,USD
Bondbloxx Usd High Yield Bond Healthcare Sector Etf,XHYH,BATS,XNYS,US,USD
Ishares Residential And Multisector Real Estate Etf,REZ,BATS,XNYS,US,USD
Rayliant Quantitative Developed Market Equity Etf,RAYD,BATS,XNYS,US,USD
Cabana Target Drawdown 16 Etf,TDSE,BATS,XNYS,US,USD
Ishares Trust Short Term National Muni Bond Etf,SUB,BATS,XNYS,US,USD
Aam Low Duration Preferred And Income Securities Etf,PFLD,BATS,XNYS,US,USD
Jp Morgan Etf Trust Diversified Return Us Small Cap Equity,JPSE,BATS,XNYS,US,USD
