Name,Ticker,Exchange,Primary,Index,Isin,Cusip,Sedol
Claranova Sa,CLA,XPAR,XPAR,[],FR0013426004,F05524107,BKDWSH5
Catering International Services SA,CTRG,XPAR,XPAR,[],FR0000064446,F1422H104,7172946
Acteos SA,EOS,XPAR,XPAR,[],FR0000076861,F2464M100,4069740
Jacques Bogart Sa,JBOG,XPAR,XPAR,[],FR0012872141,F105BV100,BZ03597
Balyo SA,BALYO,XPAR,XPAR,[],FR0013258399,F06579100,BF2MK42
Forsee Power Sa,FORSE,XPAR,XPAR,[],FR0014005SB3,,BL63JM4
Argan Sa,ARG,XPAR,XPAR,"['Russell 2000', 'Russell 3000']",FR0010481960,F0378V109,B1YKDN6
Totalenergies Se,TTE,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000120271,F92124100,B15C557
Loreal,OR,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000120321,F58149133,4057808
Pernod Ricard SA,RI,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000120693,F72027109,4682329
Akwel Sa,AKW,XPAR,XPAR,[],FR0000053027,F6179U109,4569530
Orange SA,ORA,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000133308,,5176177
Assystem Sa,ASY,XPAR,XPAR,[],FR0000074148,F0427A122,5797921
Airbus Se,AIR,XPAR,XPAR,"['Cac 40', 'Dax', 'Euro Stoxx 50', 'Euro Stoxx 600']",NL0000235190,N0280G100,4012250
Bastide Le Confort Medical SA,BLC,XPAR,XPAR,[],FR0000035370,,B0VTWY3
Altamir Sca,LTA,XPAR,XPAR,[],FR0000053837,F0261L168,B1YJJ57
Essilorluxottica SA,EL,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000121667,F31665106,7212477
Societe Fonciere Lyonnaise Sa,FLY,XPAR,XPAR,[],FR0000033409,F38493114,4643304
Solutions 30 Se,S30,XPAR,XPAR,[],FR0013379484,L86508113,BD5FFX8
Medincell SA,MEDCL,XPAR,XPAR,[],FR0004065605,F6104D107,B048Z71
Thermador Groupe SA,THEP,XPAR,XPAR,[],FR0013333432,F91651194,BFMGL63
Bollore Se,BOL,XPAR,XPAR,['Euro Stoxx 600'],FR0000039299,F10659260,4572709
Eurazeo Se,RF,XPAR,XPAR,['Euro Stoxx 600'],FR0000121121,F3296A108,7042395
Adocia Sa,ADOC,XPAR,XPAR,[],FR0011184241,F0106U100,B43XG38
Kering Sa,KER,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000121485,F5433L103,5505072
Merck Co Inc,MRK,XPAR,XPAR,"['Dax', 'Dow Jones', 'Euro Stoxx 600', 'Nasdaq Composite', 'Russell 1000', 'Russell 3000', 'Snp 500']",,,B583339
Teleperformance Se,TEP,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000051807,F9120F106,5999330
Bigben Interactive,BIG,XPAR,XPAR,[],FR0000074072,,5800034
Schneider Electric Se,SU,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000121972,F86921107,4834108
Passat Sa,PSAT,XPAR,XPAR,[],FR0000038465,F7141X106,7560949
Dbv Technologies Sa,DBV,XPAR,XPAR,[],FR0010417345,F2927N109,B59DTF2
Euromedis Groupe,ALEMG,XPAR,ALXP,[],FR0000075343,,5943401
Boostheat,ALBOO,XPAR,ALXP,[],FR0011814938,,BKT9VY8
Delta Plus Group,ALDLT,XPAR,ALXP,[],FR0013283108,,BD72FV5
Novacyt,ALNOV,XPAR,ALXP,[],FR0010397232,F65568101,B8QCPL1
Hf Company,ALHF,XPAR,ALXP,[],FR0000038531,F48158103,B05Q8M0
Cogelec,ALLEC,XPAR,ALXP,[],FR0013335742,,BDFDMJ7
Dnxcorp,ALDNX,XPAR,ALXP,[],FR0010436584,F30710101,B1VGKY7
Innelec Multimedia,ALINN,XPAR,ALXP,[],FR0000064297,F5188R107,5483640
Onxeo,ALONX,XPAR,ALXP,[],FR0010095596,F6816V106,B04P0G6
Netgem,ALNTG,XPAR,ALXP,[],FR0004154060,F6523M100,5940930
It Link,ALITL,XPAR,ALXP,[],FR0000072597,,5679610
Atari SA,ALATA,XPAR,ALXP,[],FR0010478248,F04280107,B2PW3T4
Diagnostic Medical Systems,ALDMS,XPAR,ALXP,[],FR0012202497,F26054159,BDC6ZM3
Groupe Ldlc,ALLDL,XPAR,ALXP,[],FR0000075442,,5948451
Amoeba,ALMIB,XPAR,ALXP,[],FR0011051598,F0R84X127,BYTHD33
Hipay Group,ALHYP,XPAR,ALXP,[],FR0012821916,F48170116,BYVTW30
Team,MLTEA,XPAR,XMLI,"['Nasdaq 100', 'Nasdaq Composite', 'Russell 1000', 'Russell 3000']",FR0000033466,,5590346
Safe,ALSAF,XPAR,ALXP,"['Russell 2000', 'Russell 3000']",FR0013467123,F7987L125,BJQTS76
Well,MLWEL,XPAR,XMLI,"['Russell 1000', 'Russell 3000', 'Snp 500']",FR0004152700,,B04YNW0
Keyrus,ALKEY,XPAR,ALXP,[],FR0004029411,,5979417
Cabasse Group,ALCG,XPAR,ALXP,[],FR0013530102,F0596X127,BL68NN8
Travel Technology,ALTTI,XPAR,ALXP,"['Russell 2000', 'Russell 3000']",FR0010383877,,B1G2MF5
Cibox Inter A Ctiv,ALCIB,ALXP,ALXP,[],FR0000054322,F16823100,5453610
Korian Sa,KORIp,CHIX,XPAR,[],FR0010386334,F5412L108,B1HKRM0
Electricite De France Sa,EDFp,CHIX,XPAR,['Euro Stoxx 600'],FR0010242511,F2940H113,B0NJJ17
Serge Ferrari Sas,SEFERp,CHIX,XPAR,[],FR0011950682,F8318G108,BN791N0
Verimatrix Sa,VMXp,CHIX,XPAR,[],FR0010291245,,B7H4WQ3
Essilorluxottica Sa,ELp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000121667,F31665106,7212477
Ubisoft Entertainment Sa,UBIp,CHIX,XPAR,['Euro Stoxx 600'],FR0000054470,F9396N106,B1L3CS6
Akwel,AKWp,CHIX,XPAR,[],FR0000053027,F6179U109,4569530
Biomerieux,BIMp,CHIX,XPAR,['Euro Stoxx 600'],FR0013280286,,BF0LBX7
Verallia Sa,VRLAp,CHIX,XPAR,[],FR0013447729,F96976117,BKT7807
Nacon Sa,NACONp,CHIX,XPAR,[],FR0013482791,,BL4SFK1
Danone Sa,BNp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000120644,F12033134,B1Y9TB3
Mercialys Sa,MERYp,CHIX,XPAR,[],FR0010241638,F61573105,B0LMF87
Medincell Sa,MEDCLp,CHIX,XPAR,[],FR0004065605,F6104D107,B048Z71
Ose Immuno,OSEp,CHIX,XPAR,[],FR0012127173,F6913C100,BWBSJ10
Atari Sa,ALATAp,CHIX,XPAR,[],FR0010478248,F04280107,B2PW3T4
Tarkett Sa,TKTTp,CHIX,XPAR,[],FR0004188670,,BGH15L3
Worldline SaFrance,WLNp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0011981968,,BNFWR44
Cie Des Alpes,CDAp,CHIX,XPAR,[],FR0000053324,F2005P158,B1YBWR6
Id Logistics Group,IDLp,CHIX,XPAR,[],FR0010929125,F50685100,B4RFDT5
Ses-Imagotag Sa,SESLp,CHIX,XPAR,[],FR0010282822,F8333P109,B0XMRC3
Elior Group Sa,ELIORp,CHIX,XPAR,[],FR0011950732,F3253Q112,BN40H61
Alstom Sa,ALOp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0010220475,F0259M475,B0DJ8Q5
Soitec,SOIp,CHIX,XPAR,[],FR0013227113,F8582K389,BZ6T5C2
Ab Science Sa,ABp,CHIX,XPAR,[],FR0010557264,F0028W101,B5VSTM2
Bouygues Sa,ENp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000120503,F11487125,4002121
Lacroix Group Sa,LACRp,CHIX,XPAR,[],FR0000066607,,4511445
Rubis Sca,RUIp,CHIX,XPAR,['Euro Stoxx 600'],FR0013269123,F7686C152,BDT88L2
Jacques Bogart Sa,JBOGp,CHIX,XPAR,[],FR0012872141,F105BV100,BZ03597
Oeneo Sa,SBTp,CHIX,XPAR,[],FR0000052680,F6734P108,5998177
Eurazeo Se,RFp,CHIX,XPAR,['Euro Stoxx 600'],FR0000121121,F3296A108,7042395
Rexel Sa,RXLp,CHIX,XPAR,['Euro Stoxx 600'],FR0010451203,,B1VP0K0
Aubay,AUBp,CHIX,XPAR,[],FR0000063737,F0483W109,5997323
Catering International Services,CTRGp,CHIX,XPAR,[],FR0000064446,F1422H104,7172946
Transgene Sa,TNGp,CHIX,XPAR,[],FR0005175080,F92641111,5429075
Publicis Groupe Sa,PUBp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000130577,F7607Z165,4380429
Veolia Environnement Sa,VIEp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000124141,F9686M107,4031879
Eramet Sa,ERAp,CHIX,XPAR,[],FR0000131757,F3145H130,4017017
Prodways Group Sa,PWGp,CHIX,XPAR,[],FR0012613610,F7329W102,BYPDV64
Eurofins Scientific Se,ERFp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0014000MR3,L31839134,BNDPYV1
Euronext Nv,ENXp,CHIX,XPAR,['Euro Stoxx 600'],NL0006294274,N3113K397,BNBNSG0
Esso Sa Francaise,ESp,CHIX,XPAR,"['Russell 1000', 'Russell 3000', 'Snp 500']",FR0000120669,F31710100,4320986
Ateme Sa,ATEMEp,CHIX,XPAR,[],FR0011992700,F0414R138,BNGWYJ7
Groupe Sfpi,SFPIp,CHIX,XPAR,[],FR0004155000,F2896M108,5933640
Adocia,ADOCp,CHIX,XPAR,[],FR0011184241,F0106U100,B43XG38
Aramis Group Sas,ARAMIp,CHIX,XPAR,[],FR0014003U94,F0356L107,BMCQH08
Safran Sa,SAFp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000073272,F4035A557,B058TZ6
Societe Fonciere Lyonnaise Sa,FLYp,CHIX,XPAR,[],FR0000033409,F38493114,4643304
Paris Realty Fund Sa,PARp,CHIX,XPAR,[],FR0010263202,F70147107,B0T4GJ3
Claranova Se,CLAp,CHIX,XPAR,[],FR0013426004,F05524107,BKDWSH5
Hermes International,RMSp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000052292,F48051100,5253973
Cegedim Sa,CGMp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000053506,,5456233
Adlpartner Saca,DKUPLp,CHIX,XPAR,[],FR0000062978,F0017V106,5458789
Solutions 30 Se,S30p,CHIX,XPAR,[],FR0013379484,L86508113,BD5FFX8
Abeo Sa,ABEOp,CHIX,XPAR,[],FR0013185857,,BZ13Z30
Smcp Sa,SMCPp,CHIX,XPAR,[],FR0013214145,F84440100,BDVP4Y6
Metropole Television Sa,MMTp,CHIX,XPAR,[],FR0000053225,F62379114,5993901
Icade,ICADp,CHIX,XPAR,['Euro Stoxx 600'],FR0000035081,F4931M119,4554406
Courtois Sa,COURp,CHIX,XPAR,"['Russell 2000', 'Russell 3000']",FR0000065393,F22428100,4228734
Dassault Aviation Sa,AMp,CHIX,XPAR,['Euro Stoxx 600'],FR0014004L86,F24539169,BMT9L19
Vicat Sa,VCTp,CHIX,XPAR,[],FR0000031775,F18060107,5763201
Itesoft Sa,ITEp,CHIX,XPAR,[],FR0004026151,F5319C102,4732785
Believe Sa,BLVp,CHIX,XPAR,[],FR0014003FE9,F1R34G149,BN0SCC0
Peugeot Invest,PEUGp,CHIX,XPAR,[],FR0000064784,F7300Q108,4344072
Seche Environnement Sa,SCHPp,CHIX,XPAR,[],FR0000039109,F8211M103,5366837
Aurea Sa,AUREp,CHIX,XPAR,[],FR0000039232,F04977116,4061821
Schneider Electric Se,SUp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000121972,F86921107,4834108
Vetoquinol Sa,VETOp,CHIX,XPAR,[],FR0004186856,F97121101,B1GN292
Covivio,COVp,CHIX,XPAR,['Euro Stoxx 600'],FR0000064578,,7745638
Klepierre Sa,LIp,CHIX,XPAR,['Euro Stoxx 600'],FR0000121964,F5396X102,7582556
Lagardere Sa,MMBp,CHIX,XPAR,['Euro Stoxx 600'],FR0000130213,F5485U100,4547213
Manutan International,MANp,CHIX,XPAR,[],FR0000032302,F60060104,4564869
Diagnostic Medical SystemsPais,ALDMSp,CHIX,XPAR,[],FR0012202497,F26054159,BDC6ZM3
Amplitude Surgical Sas,AMPLIp,CHIX,XPAR,[],FR0012789667,F0297D107,BZ0YDW9
Dassault Systemes Se,DSYp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0014003TT8,F24571451,BM8H5Y5
Solocal Group,LOCALp,CHIX,XPAR,[],FR00140006O9,F8569A172,BMF7DX3
Argan Sa,ARGp,CHIX,XPAR,"['Russell 2000', 'Russell 3000']",FR0010481960,F0378V109,B1YKDN6
Cafom Sa,CAFOp,CHIX,XPAR,[],FR0010151589,F17977103,B05HV24
Abc Arbitrage,ABCAp,CHIX,XPAR,[],FR0004040608,F0011K106,4121714
Gaztransport Et Technigaz Sa,GTTp,CHIX,XPAR,[],FR0011726835,F42674113,BJYRDP5
Beneteau Sa,BENp,CHIX,XPAR,[],FR0000035164,F09419106,7309283
Metabolic Explorer Sa,METEXp,CHIX,XPAR,[],FR0004177046,F61346106,B03LYZ2
Seb Sa,SKp,CHIX,XPAR,['Euro Stoxx 600'],FR0000121709,F82059100,4792132
Bollore Se,BOLp,CHIX,XPAR,['Euro Stoxx 600'],FR0000039299,F10659260,4572709
Cnp Assurances,CNPp,CHIX,XPAR,"['Euro Stoxx 600', 'Russell 1000', 'Russell 3000', 'Snp 500']",FR0000120222,F1876N318,5543986
X-Fab Silicon Foundries Se,XFABp,CHIX,XPAR,[],BE0974310428,B9901Z101,BD97P41
Thales Sa,HOp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000121329,F9156M108,4162791
Manitou Bf Sa,MTUp,CHIX,XPAR,[],FR0000038606,F59766109,5724048
Lna Sante Sa,LNAp,CHIX,XPAR,[],FR0004170017,F5641R108,B03GCV9
St Dupont Sa,DPTp,CHIX,XPAR,[],FR0000054199,F87149104,5158186
Bourse Direct,BSDp,CHIX,XPAR,[],FR0000074254,F1139U109,5984767
Nexity Sa,NXIp,CHIX,XPAR,[],FR0010112524,F6527B126,B037JC2
Getlink Se,GETp,CHIX,XPAR,['Euro Stoxx 600'],FR0010533075,F4R053105,B292JQ9
Acteos,EOSp,CHIX,XPAR,[],FR0000076861,F2464M100,4069740
Neurones,NROp,CHIX,XPAR,[],FR0004050250,F6523H101,5972676
Orege Sa,OREGEp,CHIX,XPAR,[],FR0010609206,F6775A101,B2R4YH3
Maisons Du Monde Sa,MDMp,CHIX,XPAR,[],FR0013153541,F59463103,BYY8LS2
Graines Voltz Sa,GRVOp,CHIX,XPAR,[],FR0000065971,F98105103,5565634
Paragon Id Sa,PIDp,CHIX,XPAR,[],FR0013318813,F6957K117,BG0SZP5
2Crsi Saca,2CRSIp,CHIX,XPAR,[],FR0013341781,,BF2DSF2
Interparfums Sa,ITPp,CHIX,XPAR,[],FR0004024222,F5262B119,4433839
Quadient Sa,QDTp,CHIX,XPAR,[],FR0000120560,F7488R100,5617096
Union Financiere De France Bqe Sa,UFFp,CHIX,XPAR,[],FR0000034548,F95117101,4911982
Passat,PSATp,CHIX,XPAR,[],FR0000038465,F7141X106,7560949
Dbv Technologies Sa,DBVp,CHIX,XPAR,[],FR0010417345,F2927N109,B59DTF2
Alten Sa,ATEp,CHIX,XPAR,['Euro Stoxx 600'],FR0000071946,F02626103,5608915
Srp Groupe Sa,SRPp,CHIX,XPAR,[],FR0013006558,,BYNZ9V3
Thermador Groupe,THEPp,CHIX,XPAR,[],FR0013333432,F91651194,BFMGL63
Imerys Sa,NKp,CHIX,XPAR,['Euro Stoxx 600'],FR0000120859,F49644101,B011GL4
Lvmh Moet Hennessy Louis Vuitton Se,MCp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000121014,F58485115,4061412
Gerard Perrier Industrie Sa,PERRp,CHIX,XPAR,[],FR0000061459,F72038106,B1BRLP8
Generix Group Sadir,GENXp,CHIX,XPAR,[],FR0010501692,F4368N259,B23S5P4
Societe Des Bains De Mer Et Du Cercle Des Etrangers A Monaco,BAINp,CHIX,XPAR,[],MC0000031187,F06489102,4184706
Derichebourg Sa,DBGp,CHIX,XPAR,[],FR0000053381,F2546C237,4457088
Bureau Veritas Sa,BVIp,CHIX,XPAR,['Euro Stoxx 600'],FR0006174348,F96888114,B28DTJ6
Touax Sca-Sgtr-Cite-Sgt-Cmte-Taf-Slm Touage Investissments Reunies,TOUPp,CHIX,XPAR,[],FR0000033003,F92135114,5508974
Myhotelmatch Saca,MHMp,CHIX,XPAR,[],FR0011277391,,B881LH4
Wavestone,WAVEp,CHIX,XPAR,[],FR0013357621,F98323102,BF1HKP9
Guerbet,GBTp,CHIX,XPAR,[],FR0000032526,F46788109,4395155
Savencia Sa,SAVEp,CHIX,XPAR,[],FR0000120107,,4356925
Infotel Sa,INFp,CHIX,XPAR,[],FR0000071797,,5604667
Vallourec Sa,VKp,CHIX,XPAR,[],FR0013506730,F96708270,BLGWF90
Groupe Gorge Sa,GOEp,CHIX,XPAR,[],FR0000062671,F4606F100,B06BGH5
Guillemot Corp,GUIp,CHIX,XPAR,[],FR0000066722,,5916425
Ekinops Sas,EKIp,CHIX,XPAR,[],FR0011466069,F2925C113,B9QN618
Mauna Kea Technologies,MKEAp,CHIX,XPAR,[],FR0010609263,F6099Z105,B6R2RH6
Forsee Power Saca,FORSEp,CHIX,XPAR,[],FR0014005SB3,,BL63JM4
Ses Sa,SESGp,CHIX,XPAR,['Euro Stoxx 600'],LU0088087324,L8300G135,B00ZQQ2
Rallye Sa,RALp,CHIX,XPAR,[],FR0000060618,F43743107,4368920
Societe Generale Sa,GLEp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000130809,F8591M517,5966516
Television Francaise 1,TFIp,CHIX,XPAR,[],FR0000054900,F91255103,5997118
Caisse Regionale De Credit Agricole Mutuel Nord De France,CNFp,CHIX,XPAR,[],FR0000185514,F9220X106,B0VTSP6
Sanofi,SANp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000120578,F5548N101,5671735
Schlumberger Nv,SLBp,CHIX,XPAR,"['Russell 1000', 'Russell 3000', 'Snp 500']",AN8068571086,806857108,4779209
Orpea Sa,ORPp,CHIX,XPAR,['Euro Stoxx 600'],FR0000184798,F69036105,7339451
Balyo Sa,BALYOp,CHIX,XPAR,[],FR0013258399,F06579100,BF2MK42
Faurecia Se,EOp,CHIX,XPAR,['Euro Stoxx 600'],FR0000121147,F3445A108,4400446
Xilam Animation Sa,XILp,CHIX,XPAR,[],FR0004034072,F9858B103,7300651
Sogeclair,SOGp,CHIX,XPAR,[],FR0000065864,F85585101,5551365
Casino Guichard Perrachon Sa,COp,CHIX,XPAR,['Euro Stoxx 600'],FR0000125585,F14133106,4178419
Air France-Klm,AFp,CHIX,XPAR,"['Aex 25', 'Euro Stoxx 600']",FR0000031122,F01699135,4916039
Albioma Sa,ABIOp,CHIX,XPAR,[],FR0000060402,F0190K109,B188CY0
Sopra Steria Group Saca,SOPp,CHIX,XPAR,['Euro Stoxx 600'],FR0000050809,F20906115,5633616
Cie Generale Des Etablissements Michelin Sca,MLp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR001400AJ45,F61824870,BPBPJ01
Arkema Sa,AKEp,CHIX,XPAR,['Euro Stoxx 600'],FR0010313833,F0392W125,B0Z5YZ2
Spie Sa,SPIEp,CHIX,XPAR,['Euro Stoxx 600'],FR0012757854,F8691R101,BYZFYS3
Highco,HCOp,CHIX,XPAR,[],FR0000054231,F4815C104,7394977
Kering Sa,KERp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000121485,F5433L103,5505072
Vilmorin 38 Cie Sa,RINp,CHIX,XPAR,[],FR0000052516,F9768K102,B0WM393
Europcar Mobility Group,EUCARp,CHIX,XPAR,[],FR0012789949,F36070120,BYNBTQ6
Accor Sa,ACp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000120404,F00189120,5852842
Groupe Crit,CENp,CHIX,XPAR,[],FR0000036675,F1511B109,7071775
Nanobiotix Sa,NANOp,CHIX,XPAR,[],FR0011341205,F64308111,B8X9FN7
Edenred,EDENp,CHIX,XPAR,['Euro Stoxx 600'],FR0010908533,F3192L109,B62G1B5
Caisse Regionale De Credit Agricole Mutuel Brie Picardie,CRBP2p,CHIX,XPAR,[],FR0010483768,F1439Z113,B1YGZL6
Colas Sa,REp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600', 'Russell 1000', 'Russell 3000', 'Snp 500']",FR0000121634,F19320104,5996085
Gecina Sa,GFCp,CHIX,XPAR,['Euro Stoxx 600'],FR0010040865,F4268U171,7742468
Altarea Sca,ALTAp,CHIX,XPAR,[],FR0000033219,F0261X121,4821638
Cie Plastic Omnium Sa,POMp,CHIX,XPAR,[],FR0000124570,F73325106,B08V9H4
Marie Brizard Wine 38 Spirits Sa,MBWSp,CHIX,XPAR,[],FR0000060873,F6033R102,5182282
Coheris Sa,COHp,CHIX,XPAR,[],FR0004031763,F19289101,5929456
Ovh Groupe Sas,OVHp,CHIX,XPAR,[],FR0014005HJ9,F97637106,BLPLBD4
Ipsen Sa,IPNp,CHIX,XPAR,['Euro Stoxx 600'],FR0010259150,F5362H107,B0R7JF1
Amundi Sa,AMUNp,CHIX,XPAR,['Euro Stoxx 600'],FR0004125920,F0300Q103,BYZR014
Alan Allman Associates,AAAp,CHIX,XPAR,[],FR0000062465,F9697P107,4900924
Geneuro Sa,GNROp,CHIX,XPAR,[],CH0308403085,H33418106,BYZX380
Altur Investissement,ALTURp,CHIX,XPAR,[],FR0010395681,F9544D109,B04Y6G5
Figeac-Aero,FGAp,CHIX,XPAR,[],FR0011665280,F3R50B103,BHC8KJ9
Orapi,ORAPp,CHIX,XPAR,[],FR0000075392,F6862B103,7437968
Aeroports De Paris,ADPp,CHIX,XPAR,"['Euro Stoxx 600', 'Nasdaq 100', 'Nasdaq Composite', 'Russell 1000', 'Russell 3000', 'Snp 500']",FR0010340141,F00882104,B164FY1
Pierre Et Vacances Sa,VACp,CHIX,XPAR,[],FR0000073041,F4447W106,5700479
Abivax Sa,ABVXp,CHIX,XPAR,[],FR0012333284,F00182109,BYZZ7S4
Abionyx Pharma Sa,ABNXp,CHIX,XPAR,[],FR0012616852,F0020A107,BWCGXB1
Genfit,GNFTp,CHIX,XPAR,[],FR0004163111,F43738107,B03B708
Bastide Le Confort Medical,BLCp,CHIX,XPAR,[],FR0000035370,,B0VTWY3
Chargeurs Sa,CRIp,CHIX,XPAR,[],FR0000130692,F1615M100,5021318
Somfy Sa,SOp,CHIX,XPAR,[],FR0013199916,F8612B102,BYXKN05
Loreal Sa,ORp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000120321,F58149133,4057808
Wendel Se,MFp,CHIX,XPAR,['Euro Stoxx 600'],FR0000121204,F98370103,7390113
Media 6,EDIp,CHIX,XPAR,[],FR0000064404,F6099Q105,5483703
Aures Technologies Sa,AURSp,CHIX,XPAR,[],FR0013183589,F0500Q101,BD065D6
Erytech Pharma Sa,ERYPp,CHIX,XPAR,[],FR0011471135,F3417Z115,B95J1X4
Esi Group,ESIp,CHIX,XPAR,[],FR0004110310,,4031910
Hexaom,HEXAp,CHIX,XPAR,[],FR0004159473,,B0DCZT6
Actia Group,ATIp,CHIX,XPAR,[],FR0000076655,F0041Q123,5983786
Robertet Sa,CBEp,CHIX,XPAR,[],FR0000045601,F78649104,4899583
Robertet Sa,CBRp,CHIX,XPAR,[],FR0000045619,F78649112,4645430
Jcdecaux Se,DECp,CHIX,XPAR,['Euro Stoxx 600'],FR0000077919,F5333N100,7136663
Christian Dior Se,CDIp,CHIX,XPAR,['Euro Stoxx 600'],FR0000130403,F26334106,4061393
Cast Sa,CASp,CHIX,XPAR,[],FR0000072894,F14224103,5689147
Axway Software Sa,AXWp,CHIX,XPAR,[],FR0011040500,F0634C101,B3S0TP0
Roche Bobois Sas,RBOp,CHIX,XPAR,[],FR0013344173,,BD2YZP0
Neoen Sa,NEOENp,CHIX,XPAR,[],FR0011675362,F6517R107,BGV7F95
Altamir,LTAp,CHIX,XPAR,[],FR0000053837,F0261L168,B1YJJ57
Catana Group,CATGp,CHIX,XPAR,[],FR0010193052,F7247A109,B083S40
Stef Sa,STFp,CHIX,XPAR,[],FR0000064271,F8860X103,B0VY3M3
Technip Energies Nv,TEp,CHIX,XPAR,[],NL0014559478,N8486R101,BNC0116
Jacquet Metals Saca,JCQp,CHIX,XPAR,[],FR0000033904,F5325D102,5286582
Valneva Se,VLAp,CHIX,XPAR,[],FR0004056851,F9635C101,B03KGM0
Poxel Sa,POXELp,CHIX,XPAR,[],FR0012432516,F7S69W106,BVL8RS6
Uti Group Sa,FPGp,CHIX,XPAR,[],FR0000074197,F9556P107,5975040
Avenir Telecom,AVTp,CHIX,XPAR,[],FR001400CFI7,F0589A100,BMXN2W5
Kaufman Broad Sa,KOFp,CHIX,XPAR,[],FR0004007813,F5375H102,B138HB7
Rothschild 38 Co,ROTHp,CHIX,XPAR,[],FR0000031684,F7957F116,4672308
Elis Sa,ELISp,CHIX,XPAR,['Euro Stoxx 600'],FR0012435121,F2976F106,BVSS790
Vinci Sa,DGp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600', 'Russell 1000', 'Russell 3000', 'Snp 500']",FR0000125486,F5879X108,B1XH026
Sqli Sa,SQIp,CHIX,XPAR,[],FR0011289040,F8708K115,B8KMFF1
Societe Marseillaise Du Tunnel Prado-Carenage Sa,SMTPCp,CHIX,XPAR,[],FR0004016699,,B1KPV64
Tff Group,TFFp,CHIX,XPAR,[],FR0013295789,F9229B105,BF2RW18
Coface Sa,COFAp,CHIX,XPAR,[],FR0010667147,F22736106,BNFWV75
Covivio Hotels Saca,COVHp,CHIX,XPAR,[],FR0000060303,F3831G149,B1WSPV4
Cie De Lodet Se,ODETp,CHIX,XPAR,[],FR0000062234,F5758F103,4318806
Eutelsat Communications Sa,ETLp,CHIX,XPAR,['Euro Stoxx 600'],FR0010221234,F3692M128,B0M7KJ7
Valeo,FRp,CHIX,XPAR,['Euro Stoxx 600'],FR0013176526,F96221340,BDC5ST8
Totalenergies Ep Gabon,ECp,CHIX,XPAR,[],GA0000121459,V9047L105,4309781
Lysogene Sa,LYSp,CHIX,XPAR,[],FR0013233475,F58864103,BD31H32
Carmila Sa,CARMp,CHIX,XPAR,[],FR0010828137,F1387K266,B4Y0230
Bigben Interactive,BIGp,CHIX,XPAR,[],FR0000074072,,5800034
Renault Sa,RNOp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000131906,F77098105,4712798
Orange Sa,ORAp,CHIX,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000133308,,5176177
