Name,Ticker,Exchange,Primary,Index,Isin,Cusip,Sedol
Hexaom Sa,HEXA,XPAR,XPAR,[],FR0004159473,,B0DCZT6
Voltalia SA,VLTSA,XPAR,XPAR,[],FR0011995588,F98177128,BNLPTL8
Esi Group Sa,ESI,XPAR,XPAR,[],FR0004110310,,4031910
Cnim Groupe Sa,COM,XPAR,XPAR,[],FR0000053399,D1548W102,4182023
Geneuro Sa,GNRO,XPAR,XPAR,[],CH0308403085,H33418106,BYZX380
Casino Guichard Perrachon,CO,XPAR,XPAR,['Euro Stoxx 600'],FR0000125585,F14133106,4178419
Genfit SA,GNFT,XPAR,XPAR,[],FR0004163111,F43738107,B03B708
Orege SA,OREGE,XPAR,XPAR,[],FR0010609206,F6775A101,B2R4YH3
Gl Events SA,GLO,XPAR,XPAR,[],FR0000066672,F7440W163,7154104
2Crsi Sa,2CRSI,XPAR,XPAR,[],FR0013341781,,BF2DSF2
Guerbet Sa,GBT,XPAR,XPAR,[],FR0000032526,F46788109,4395155
Lair Liquide SA,AI,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600', 'Russell 2000', 'Russell 3000']",FR0000120073,F01764103,B1YXBJ7
Caterpillar Inc,CATR,XPAR,XPAR,"['Dow Jones', 'Nasdaq Composite', 'Russell 1000', 'Russell 3000', 'Snp 500']",US1491231015,149123101,4180254
Engie Sa,ENGI,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0010208488,F7629A107,B0C2CQ3
Imerys Sa,NK,XPAR,XPAR,['Euro Stoxx 600'],FR0000120859,F49644101,B011GL4
Manitou Bf Sa,MTU,XPAR,XPAR,[],FR0000038606,F59766109,5724048
Bourse Direct SA,BSD,XPAR,XPAR,[],FR0000074254,F1139U109,5984767
Stef Sa,STF,XPAR,XPAR,[],FR0000064271,F8860X103,B0VY3M3
Kaufman Broad Sa,KOF,XPAR,XPAR,[],FR0004007813,F5375H102,B138HB7
Barbara Bui SA,BUI,XPAR,XPAR,"['Russell 1000', 'Russell 3000']",FR0000062788,122017106,5436945
Abivax SA,ABVX,XPAR,XPAR,[],FR0012333284,F00182109,BYZZ7S4
Catana Group SA,CATG,XPAR,XPAR,[],FR0010193052,F7247A109,B083S40
Atos Se,ATO,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000051732,F06116101,5654781
Fnac Darty Sa,FNAC,XPAR,XPAR,[],FR0011476928,F3808N101,B7VQL46
Klepierre Sa,LI,XPAR,XPAR,['Euro Stoxx 600'],FR0000121964,F5396X102,7582556
St Dupont Sa,DPT,XPAR,XPAR,[],FR0000054199,F87149104,5158186
Nicox SA,COX,XPAR,XPAR,[],FR0013018124,F6533F301,BZ16HF5
High Co,HCO,XPAR,XPAR,[],FR0000054231,F4815C104,7394977
Inventiva Sa,IVA,XPAR,XPAR,[],FR0013233012,F5R343107,BD3DW55
Schlumberger Nv,SLB,XPAR,XPAR,"['Russell 1000', 'Russell 3000', 'Snp 500']",,806857108,4779209
Nanobiotix Sa,NANO,XPAR,XPAR,[],FR0011341205,F64308111,B8X9FN7
Amplitude Surgical Sa,AMPLI,XPAR,XPAR,[],FR0012789667,F0297D107,BZ0YDW9
Altur Investissement Sca,ALTUR,XPAR,XPAR,[],FR0010395681,F9544D109,B04Y6G5
Cast SA,CAS,XPAR,XPAR,[],FR0000072894,F14224103,5689147
Touax Sca,TOUP,XPAR,XPAR,[],FR0000033003,F92135114,5508974
Stmicroelectronics NV,STM,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 600']",NL0000226223,N83574108,5962332
Ses Imagotag Sa,SESL,XPAR,XPAR,[],FR0010282822,F8333P109,B0XMRC3
Orpea Sa,ORP,XPAR,XPAR,['Euro Stoxx 600'],FR0000184798,F69036105,7339451
