Timestamp,Price,Size,Flag
11/05/2021 13:30:02,151.86,5,
11/05/2021 13:30:02,151.86,37,
11/05/2021 13:30:02,151.86,7,
11/05/2021 13:30:02,151.86,297,
11/05/2021 13:30:02,151.86,154,
11/05/2021 13:30:02,151.85,24,
11/05/2021 13:30:02,151.85,100,
11/05/2021 13:30:02,151.85,100,
11/05/2021 13:30:02,151.84,100,
11/05/2021 13:30:03,151.83,100,
11/05/2021 13:30:03,151.86,10,
11/05/2021 13:30:03,151.86,10,
11/05/2021 13:30:03,151.86,10,
11/05/2021 13:30:03,151.83,400,
11/05/2021 13:30:03,151.82,15,
11/05/2021 13:30:03,151.83,4,
11/05/2021 13:30:03,151.82,100,
11/05/2021 13:30:03,151.82,134,
11/05/2021 13:30:03,151.82,100,
11/05/2021 13:30:03,151.82,166,
11/05/2021 13:30:03,151.82,6,
11/05/2021 13:30:03,151.82,200,
11/05/2021 13:30:03,151.82,18,
11/05/2021 13:30:03,151.86,15,
11/05/2021 13:30:03,151.85,71,
11/05/2021 13:30:03,151.85,85,
11/05/2021 13:30:03,151.85,15,
11/05/2021 13:30:03,151.85,85,
11/05/2021 13:30:03,151.86,100,
11/05/2021 13:30:03,151.87,100,
11/05/2021 13:30:03,151.86,100,
11/05/2021 13:30:03,151.86,100,
11/05/2021 13:30:03,151.86,100,
11/05/2021 13:30:03,151.86,100,
11/05/2021 13:30:03,151.88,100,
11/05/2021 13:30:03,151.88,100,
11/05/2021 13:30:03,151.885,30,
11/05/2021 13:30:03,151.89,70,
11/05/2021 13:30:03,151.89,30,
11/05/2021 13:30:03,151.9,100,
11/05/2021 13:30:03,151.9,200,
11/05/2021 13:30:03,151.91,100,
11/05/2021 13:30:03,151.91,100,
11/05/2021 13:30:03,151.91,100,
11/05/2021 13:30:03,151.9,20,
11/05/2021 13:30:03,151.9,20,
11/05/2021 13:30:03,151.9,77,
11/05/2021 13:30:03,151.86,22,
11/05/2021 13:30:03,151.86,74,
11/05/2021 13:30:04,151.88,1,
11/05/2021 13:30:04,151.88,100,
11/05/2021 13:30:04,151.86,100,
11/05/2021 13:30:04,151.86,200,
11/05/2021 13:30:04,151.86,73,
11/05/2021 13:30:04,151.86,27,
11/05/2021 13:30:04,151.87,2,
11/05/2021 13:30:04,151.88,98,
11/05/2021 13:30:04,151.88,2,
11/05/2021 13:30:04,151.88,15,
11/05/2021 13:30:04,151.88,100,
11/05/2021 13:30:04,151.86,24,
11/05/2021 13:30:04,151.87,100,
11/05/2021 13:30:04,151.87,100,
11/05/2021 13:30:04,151.88,23,
11/05/2021 13:30:04,151.88,2,
