Date,Open,High,Low,Close,Volume,Count,Open_Adj,High_Adj,Low_Adj,Close_Adj,Volume_Adj,Count_Adj
2022-06-03 17:00:00,2432.7636,2435.62,2426.98,2427.55,46721,3758,2432.7636,2435.62,2426.98,2427.55,46721,3758
2022-06-03 17:05:00,2428.445,2433.85,2426.0,2431.055,31378,3190,2428.445,2433.85,2426.0,2431.055,31378,3190
2022-06-03 17:10:00,2431.055,2433.09,2420.52,2425.355,57281,4507,2431.055,2433.09,2420.52,2425.355,57281,4507
2022-06-03 17:15:00,2425.945,2485.0,2423.94,2431.46,36659,3141,2425.945,2485.0,2423.94,2431.46,36659,3141
2022-06-03 17:20:00,2431.19,2484.0,2427.58,2429.815,41642,3348,2431.19,2484.0,2427.58,2429.815,41642,3348
2022-06-03 17:25:00,2429.815,2437.0,2427.0,2434.645,40180,2930,2429.815,2437.0,2427.0,2434.645,40180,2930
2022-06-03 17:30:00,2434.645,2441.7799,2424.14,2440.135,55087,3587,2434.645,2441.7799,2424.14,2440.135,55087,3587
2022-06-03 17:35:00,2440.135,2445.9999,2436.5701,2438.6805,45980,3398,2440.135,2445.9999,2436.5701,2438.6805,45980,3398
2022-06-03 17:40:00,2439.5,2440.0,2432.01,2439.0,40824,2678,2439.5,2440.0,2432.01,2439.0,40824,2678
2022-06-03 17:45:00,2438.24,2439.92,2432.91,2435.8,22662,2216,2438.24,2439.92,2432.91,2435.8,22662,2216
2022-06-03 17:50:00,2435.84,2438.03,2432.8,2435.315,18429,2045,2435.84,2438.03,2432.8,2435.315,18429,2045
2022-06-03 17:55:00,2435.83,2446.64,2434.63,2445.2843,37973,2756,2435.83,2446.64,2434.63,2445.2843,37973,2756
2022-06-03 18:00:00,2445.2843,2449.49,2440.796,2445.14,48182,3037,2445.2843,2449.49,2440.796,2445.14,48182,3037
2022-06-03 18:05:00,2445.975,2510.22,2436.0,2436.955,46371,3171,2445.975,2510.22,2436.0,2436.955,46371,3171
2022-06-03 18:10:00,2437.6156,2446.882,2432.35,2441.88,62032,3602,2437.6156,2446.882,2432.35,2441.88,62032,3602
2022-06-03 18:15:00,2441.62,2446.882,2430.0601,2431.135,44710,2963,2441.62,2446.882,2430.0601,2431.135,44710,2963
2022-06-03 18:20:00,2446.882,2446.882,2428.12,2439.26,53876,3536,2446.882,2446.882,2428.12,2439.26,53876,3536
2022-06-03 18:25:00,2440.24,2446.882,2430.0,2432.86,28347,2679,2440.24,2446.882,2430.0,2432.86,28347,2679
2022-06-03 18:30:00,2433.18,2446.882,2432.0,2434.2567,23498,2187,2433.18,2446.882,2432.0,2434.2567,23498,2187
2022-06-03 18:35:00,2433.26,2441.76,2430.06,2438.7295,33057,2272,2433.26,2441.76,2430.06,2438.7295,33057,2272
2022-06-03 18:40:00,2439.68,2439.93,2432.0,2434.515,28091,2297,2439.68,2439.93,2432.0,2434.515,28091,2297
2022-06-03 18:45:00,2435.0,2441.98,2434.14,2440.325,28762,2250,2435.0,2441.98,2434.14,2440.325,28762,2250
2022-06-03 18:50:00,2441.65,2441.65,2433.0,2439.5,31017,2440,2441.65,2441.65,2433.0,2439.5,31017,2440
2022-06-03 18:55:00,2439.86,2445.0,2436.66,2443.07,33182,2389,2439.86,2445.0,2436.66,2443.07,33182,2389
2022-06-03 19:00:00,2444.2784,2455.81,2441.4,2452.7,73464,3621,2444.2784,2455.81,2441.4,2452.7,73464,3621
2022-06-03 19:05:00,2453.825,2455.78,2445.15,2447.44,27061,2491,2453.825,2455.78,2445.15,2447.44,27061,2491
2022-06-03 19:10:00,2448.3,2451.85,2441.96,2442.6917,22036,2215,2448.3,2451.85,2441.96,2442.6917,22036,2215
2022-06-03 19:15:00,2442.625,2443.6,2432.5,2435.818,38051,2841,2442.625,2443.6,2432.5,2435.818,38051,2841
2022-06-03 19:20:00,2435.6678,2439.3,2433.5001,2438.9899,23842,1967,2435.6678,2439.3,2433.5001,2438.9899,23842,1967
2022-06-03 19:25:00,2438.34,2439.59,2433.5,2439.448,23250,1998,2438.34,2439.59,2433.5,2439.448,23250,1998
2022-06-03 19:30:00,2438.0001,2440.4199,2434.0,2439.45,24854,2050,2438.0001,2440.4199,2434.0,2439.45,24854,2050
2022-06-03 19:35:00,2440.1535,2443.67,2438.48,2441.34,29944,2249,2440.1535,2443.67,2438.48,2441.34,29944,2249
2022-06-03 19:40:00,2441.2589,2442.25,2430.55,2433.1,37982,2750,2441.2589,2442.25,2430.55,2433.1,37982,2750
2022-06-03 19:45:00,2433.5733,2437.97,2432.18,2436.34,17134,1654,2433.5733,2437.97,2432.18,2436.34,17134,1654
2022-06-03 19:50:00,2437.43,2441.0,2435.0,2437.905,36508,2113,2437.43,2441.0,2435.0,2437.905,36508,2113
2022-06-03 19:55:00,2437.34,2439.0,2436.0,2436.9901,17719,1769,2437.34,2439.0,2436.0,2436.9901,17719,1769
2022-06-03 20:00:00,2437.52,2449.88,2433.56,2446.82,56143,3151,2437.52,2449.88,2433.56,2446.82,56143,3151
